sample_id,rock_type,grade,depth,mass,location
GEO-001,Basalt,4.07,399,12.8,Site-B
GEO-002,Gneiss,0.55,107,14.2,Site-B
GEO-003,Granite,2.32,179,14.8,Site-A
GEO-004,Granite,1.66,270,10.0,Site-A
GEO-005,Basalt,3.48,182,14.2,Site-B
GEO-006,Basalt,4.97,330,19.0,Site-B
GEO-007,Sandstone,4.84,117,11.7,Site-C
GEO-008,Gneiss,4.91,212,12.8,Site-C
GEO-009,Sandstone,0.84,212,18.1,Site-D
GEO-010,Schist,2.96,242,10.0,Site-C
GEO-011,Granite,2.46,255,9.4,Site-C
GEO-012,Sandstone,3.14,213,13.1,Site-A
GEO-013,Schist,0.66,231,16.0,Site-B
GEO-014,Schist,3.55,179,12.1,Site-B
GEO-015,Granite,4.29,208,18.3,Site-C
GEO-016,Granite,4.73,328,18.8,Site-A
GEO-017,Sandstone,2.75,246,10.0,Site-B
GEO-018,Basalt,1.53,300,18.9,Site-D
GEO-019,Schist,2.83,144,15.7,Site-A
GEO-020,Granite,0.95,198,13.2,Site-D
GEO-021,Schist,3.56,157,8.1,Site-B
GEO-022,Basalt,2.3,264,13.9,Site-C
GEO-023,Granite,1.63,321,10.6,Site-D
GEO-024,Schist,1.27,288,13.6,Site-C
GEO-025,Sandstone,1.52,96,16.1,Site-C
GEO-026,Granite,3.02,333,12.2,Site-B
GEO-027,Sandstone,3.1,265,13.8,Site-C
GEO-028,Basalt,3.15,195,13.8,Site-D
GEO-029,Granite,3.18,134,9.3,Site-B
GEO-030,Basalt,2.6,311,17.1,Site-B
GEO-031,Basalt,4.8,244,11.7,Site-B
GEO-032,Sandstone,2.88,298,12.7,Site-B
GEO-033,Granite,4.03,107,9.6,Site-A
GEO-034,Schist,1.41,209,13.4,Site-B
GEO-035,Gneiss,1.14,116,11.7,Site-B
GEO-036,Gneiss,3.6,253,14.6,Site-D
GEO-037,Schist,0.86,373,12.5,Site-D
GEO-038,Schist,0.31,185,15.9,Site-B
GEO-039,Schist,0.59,273,16.1,Site-C
GEO-040,Basalt,2.99,204,18.0,Site-D
GEO-041,Basalt,3.64,109,11.3,Site-A
GEO-042,Gneiss,3.86,336,18.5,Site-D
GEO-043,Sandstone,2.47,392,14.0,Site-D
GEO-044,Schist,1.11,190,17.6,Site-B
